"","pert_iname","mean","n","median","sd","sRGES"
"10225","linoleic-acid",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"10680","P-1075",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"10898","pseudopelletierine",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"11422","SD-169",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"11535","ST-91",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"11605","targinine",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"11912","VU-0424182-2",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"11968","YL-51",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"12007","ZK-756326",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"392","BRD-A02747686",-0.0632398248267186,2,-0.0632398248267186,0.00396203691827222,-0.0632398248267186
"3081","BRD-K29767311",-0.0632398248267186,2,-0.0632398248267186,0.00396203691827222,-0.0632398248267186
"10388","metrizamide",-0.0632398248267186,2,-0.0632398248267186,0.00396203691827222,-0.0632398248267186
"10904","PSH-021",-0.0632398248267186,2,-0.0632398248267186,0.00396203691827222,-0.0632398248267186
"11574","sulfinpyrazone",-0.0632398248267186,2,-0.0632398248267186,0.00396203691827222,-0.0632398248267186
"536","BRD-A61189834",-0.0632390607589963,2,-0.0632390607589963,0.0039375702753944,-0.0632390607589963
"1936","BRD-K16046246",-0.0632390607589963,2,-0.0632390607589963,0.0039375702753944,-0.0632390607589963
"1989","BRD-K16604360",-0.0632390607589963,2,-0.0632390607589963,0.0039375702753944,-0.0632390607589963
"10521","NAS-181",-0.0632390607589963,2,-0.0632390607589963,0.0039375702753944,-0.0632390607589963
"10522","nateglinide",-0.0632390607589963,2,-0.0632390607589963,0.0039375702753944,-0.0632390607589963
"11045","roquinimex",-0.0632390607589963,2,-0.0632390607589963,0.0039375702753944,-0.0632390607589963
"11816","U-46619",-0.0632390607589963,2,-0.0632390607589963,0.0039375702753944,-0.0632390607589963
